Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5
30.711681000,0,0,1,1,1,1
30.711685750,0,1,1,1,1,1
30.711690875,0,0,1,1,1,1
30.711696250,0,1,1,1,1,1
30.711701375,0,0,1,1,1,1
30.711701875,0,0,0,1,1,1
30.711706625,0,1,0,1,1,1
30.711711875,0,0,0,1,1,1
30.711712500,0,0,1,1,1,1
30.711712875,0,0,0,1,1,1
30.711717125,0,1,0,1,1,1
30.711722375,0,0,0,1,1,1
30.711723500,0,0,1,1,1,1
30.711742375,0,1,1,1,1,1
30.711747500,0,0,1,1,1,1
30.711748000,0,0,0,1,1,1
30.711752750,0,1,0,1,1,1
30.711758000,0,0,0,1,1,1
30.711763250,0,1,0,1,1,1
30.711768500,0,0,0,1,1,1
30.711769125,0,0,1,1,1,1
30.711773750,0,1,1,1,1,1
30.711778875,0,0,1,1,1,1
30.711779375,0,0,0,1,1,1
30.711784250,0,1,0,1,1,1
30.711789375,0,0,0,1,1,1
30.711794750,0,1,0,1,1,1
30.711799875,0,0,0,1,1,1
30.711805250,0,1,0,1,1,1
30.711810375,0,0,0,1,1,1
30.711815625,0,1,0,1,1,1
30.711820875,0,0,0,1,1,1
30.711821500,0,0,1,1,1,1
30.711821875,0,0,0,1,1,1
30.711826125,0,1,0,1,1,1
30.711831375,0,0,0,1,1,1
30.711832500,0,0,1,1,1,1
30.711851375,0,1,1,1,1,1
30.711856500,0,0,1,1,1,1
30.711857000,0,0,0,1,1,1
30.711861875,0,1,0,1,1,1
30.711867000,0,0,0,1,1,1
30.711872250,0,1,0,1,1,1
30.711877500,0,0,0,1,1,1
30.711878125,0,0,1,1,1,1
30.711882750,0,1,1,1,1,1
30.711888000,0,0,1,1,1,1
30.711888375,0,0,0,1,1,1
30.711893250,0,1,0,1,1,1
30.711898375,0,0,0,1,1,1
30.711903750,0,1,0,1,1,1
30.711908875,0,0,0,1,1,1
30.711914250,0,1,0,1,1,1
30.711919375,0,0,0,1,1,1
30.711924750,0,1,0,1,1,1
30.711929875,0,0,0,1,1,1
30.711930500,0,0,1,1,1,1
30.711930875,0,0,0,1,1,1
30.711935125,0,1,0,1,1,1
30.711940375,0,0,0,1,1,1
30.711960375,0,1,0,1,1,1
30.711965500,0,0,0,1,1,1
30.711970875,0,1,0,1,1,1
30.711976000,0,0,0,1,1,1
30.711981250,0,1,0,1,1,1
30.711986500,0,0,0,1,1,1
30.711991750,0,1,0,1,1,1
30.711997000,0,0,0,1,1,1
30.712002250,0,1,0,1,1,1
30.712007375,0,0,0,1,1,1
30.712008000,0,0,1,1,1,1
30.712012750,0,1,1,1,1,1
30.712017875,0,0,1,1,1,1
30.712023250,0,1,1,1,1,1
30.712028375,0,0,1,1,1,1
30.712028875,0,0,0,1,1,1
30.712033750,0,1,0,1,1,1
30.712038875,0,0,0,1,1,1
30.712039500,0,0,1,1,1,1
30.712039875,0,0,0,1,1,1
30.712044125,0,1,0,1,1,1
30.712049375,0,0,0,1,1,1
30.712069375,0,1,0,1,1,1
30.712074500,0,0,0,1,1,1
30.712079875,0,1,0,1,1,1
30.712085000,0,0,0,1,1,1
30.712090250,0,1,0,1,1,1
30.712095500,0,0,0,1,1,1
30.712096125,0,0,1,1,1,1
30.712100750,0,1,1,1,1,1
30.712106000,0,0,1,1,1,1
30.712106375,0,0,0,1,1,1
30.712111250,0,1,0,1,1,1
30.712116500,0,0,0,1,1,1
30.712121750,0,1,0,1,1,1
30.712126875,0,0,0,1,1,1
30.712132250,0,1,0,1,1,1
30.712137375,0,0,0,1,1,1
30.712142750,0,1,0,1,1,1
30.712147875,0,0,0,1,1,1
30.712148500,0,0,1,1,1,1
30.712148875,0,0,0,1,1,1
30.712153250,0,1,0,1,1,1
30.712158375,0,0,0,1,1,1
30.712178375,0,1,0,1,1,1
30.712183500,0,0,0,1,1,1
30.712188875,0,1,0,1,1,1
30.712194000,0,0,0,1,1,1
30.712199250,0,1,0,1,1,1
30.712204500,0,0,0,1,1,1
30.712209750,0,1,0,1,1,1
30.712215000,0,0,0,1,1,1
30.712220250,0,1,0,1,1,1
30.712225500,0,0,0,1,1,1
30.712230750,0,1,0,1,1,1
30.712235875,0,0,0,1,1,1
30.712241250,0,1,0,1,1,1
30.712246375,0,0,0,1,1,1
30.712251750,0,1,0,1,1,1
30.712256875,0,0,0,1,1,1
30.712257375,0,0,1,1,1,1
30.712257875,0,0,0,1,1,1
30.712262250,0,1,0,1,1,1
30.712267375,0,0,0,1,1,1
30.712287375,0,1,0,1,1,1
30.712292500,0,0,0,1,1,1
30.712297875,0,1,0,1,1,1
30.712303000,0,0,0,1,1,1
30.712308375,0,1,0,1,1,1
30.712313500,0,0,0,1,1,1
30.712318750,0,1,0,1,1,1
30.712324000,0,0,0,1,1,1
30.712329250,0,1,0,1,1,1
30.712334500,0,0,0,1,1,1
30.712339750,0,1,0,1,1,1
30.712344875,0,0,0,1,1,1
30.712350250,0,1,0,1,1,1
30.712355375,0,0,0,1,1,1
30.712360750,0,1,0,1,1,1
30.712365875,0,0,0,1,1,1
30.712366375,0,0,1,1,1,1
30.712366875,0,0,0,1,1,1
30.712371250,0,1,0,1,1,1
30.712376375,0,0,0,1,1,1
30.712396375,0,1,0,1,1,1
30.712401500,0,0,0,1,1,1
30.712406875,0,1,0,1,1,1
30.712412000,0,0,0,1,1,1
30.712417375,0,1,0,1,1,1
30.712422500,0,0,0,1,1,1
30.712427750,0,1,0,1,1,1
30.712433000,0,0,0,1,1,1
30.712438250,0,1,0,1,1,1
30.712443500,0,0,0,1,1,1
30.712448750,0,1,0,1,1,1
30.712454000,0,0,0,1,1,1
30.712459250,0,1,0,1,1,1
30.712464375,0,0,0,1,1,1
30.712469750,0,1,0,1,1,1
30.712474875,0,0,0,1,1,1
30.712475500,0,0,1,1,1,1
30.712475875,0,0,0,1,1,1
30.712480250,0,1,0,1,1,1
30.712485375,0,0,0,1,1,1
30.712505375,0,1,0,1,1,1
30.712510500,0,0,0,1,1,1
30.712515875,0,1,0,1,1,1
30.712521000,0,0,0,1,1,1
30.712526375,0,1,0,1,1,1
30.712531500,0,0,0,1,1,1
30.712536875,0,1,0,1,1,1
30.712542000,0,0,0,1,1,1
30.712547250,0,1,0,1,1,1
30.712552500,0,0,0,1,1,1
30.712557750,0,1,0,1,1,1
30.712563000,0,0,0,1,1,1
30.712568250,0,1,0,1,1,1
30.712573375,0,0,0,1,1,1
30.712578750,0,1,0,1,1,1
30.712583875,0,0,0,1,1,1
30.712584500,0,0,1,1,1,1
30.712584875,0,0,0,1,1,1
30.712589250,0,1,0,1,1,1
30.712594375,0,0,0,1,1,1
30.712614375,0,1,0,1,1,1
30.712619500,0,0,0,1,1,1
30.712624875,0,1,0,1,1,1
30.712630000,0,0,0,1,1,1
30.712635375,0,1,0,1,1,1
30.712640500,0,0,0,1,1,1
30.712645875,0,1,0,1,1,1
30.712651000,0,0,0,1,1,1
30.712656250,0,1,0,1,1,1
30.712661500,0,0,0,1,1,1
30.712666750,0,1,0,1,1,1
30.712672000,0,0,0,1,1,1
30.712677250,0,1,0,1,1,1
30.712682375,0,0,0,1,1,1
30.712687750,0,1,0,1,1,1
30.712692875,0,0,0,1,1,1
30.712693500,0,0,1,1,1,1
30.712693875,0,0,0,1,1,1
30.712698250,0,1,0,1,1,1
30.712703375,0,0,0,1,1,1
30.712723375,0,1,0,1,1,1
30.712728500,0,0,0,1,1,1
30.712733875,0,1,0,1,1,1
30.712739000,0,0,0,1,1,1
30.712744375,0,1,0,1,1,1
30.712749500,0,0,0,1,1,1
30.712754875,0,1,0,1,1,1
30.712760000,0,0,0,1,1,1
30.712765250,0,1,0,1,1,1
30.712770500,0,0,0,1,1,1
30.712775750,0,1,0,1,1,1
30.712781000,0,0,0,1,1,1
30.712786250,0,1,0,1,1,1
30.712791500,0,0,0,1,1,1
30.712796750,0,1,0,1,1,1
30.712801875,0,0,0,1,1,1
30.712802500,0,0,1,1,1,1
30.712802875,0,0,0,1,1,1
30.712807250,0,1,0,1,1,1
30.712812375,0,0,0,1,1,1
30.712813500,0,0,1,1,1,1
30.712832375,0,1,1,1,1,1
30.712837500,0,0,1,1,1,1
30.712842875,0,1,1,1,1,1
30.712848000,0,0,1,1,1,1
30.712848375,0,0,0,1,1,1
30.712853375,0,1,0,1,1,1
30.712858500,0,0,0,1,1,1
30.712859125,0,0,1,1,1,1
30.712863875,0,1,1,1,1,1
30.712869000,0,0,1,1,1,1
30.712869375,0,0,0,1,1,1
30.712874250,0,1,0,1,1,1
30.712879500,0,0,0,1,1,1
30.712880125,0,0,1,1,1,1
30.712884750,0,1,1,1,1,1
30.712890000,0,0,1,1,1,1
30.712895250,0,1,1,1,1,1
30.712900500,0,0,1,1,1,1
30.712900875,0,0,0,1,1,1
30.712905750,0,1,0,1,1,1
30.712910875,0,0,0,1,1,1
30.712911500,0,0,1,1,1,1
30.712911875,0,0,0,1,1,1
30.712916250,0,1,0,1,1,1
30.712921375,0,0,0,1,1,1
30.712941375,0,1,0,1,1,1
30.712946625,0,0,0,1,1,1
30.712951875,0,1,0,1,1,1
30.712957000,0,0,0,1,1,1
30.712962375,0,1,0,1,1,1
30.712967500,0,0,0,1,1,1
30.712968125,0,0,1,1,1,1
30.712972875,0,1,1,1,1,1
30.712978000,0,0,1,1,1,1
30.712978500,0,0,0,1,1,1
30.712983375,0,1,0,1,1,1
30.712988500,0,0,0,1,1,1
30.712993750,0,1,0,1,1,1
30.712999000,0,0,0,1,1,1
30.713004250,0,1,0,1,1,1
30.713009500,0,0,0,1,1,1
